,audio_id,first_label_hts,first_prob_hts,next_label_hts,next_prob_hts,first_label_res,first_prob_res,next_label_res,next_prob_res,Label_audio_1,Label_audio_2,first_label_beats,first_prob_beats,next_label_beats,next_prob_beats
0,f7924b777e474520a516aa584a41d7e6.wav,mouse_click,2.319037,cow,2.2149358,hen,-1.5440791,mouse_click,-2.3772457,0,0,Speech,0.8633385300636292,"Male speech, man speaking",0.3128514885902405
1,903786b251994db3af3c454c9ddfc586.wav,hen,2.8878284,dog,1.6967756,breathing,-3.4341962,dog,-2.4855309,0,0,Speech,0.9121748208999634,Speech synthesizer,0.2501581311225891
2,0c670303907b48d682468639f5be5c1c.wav,dog,3.3032165,siren,1.8615112,water_drops,-2.043841,coughing,-2.1014183,0,0,Speech,0.9299035668373108,Telephone,0.3028900921344757
3,7c2538cae6bb49548cf6f97cf4f6cbad.wav,siren,2.0341036,keyboard_typing,1.9135779,hen,0.32545578,hen,-3.2151768,0,0,Speech,0.9419146180152893,Telephone,0.3210444450378418
4,92e8a42ea6834c82ad2e937c6f9c2edf.wav,dog,4.262393,chirping_birds,1.6233158,water_drops,-1.8746074,chirping_birds,-3.5078907,0,0,Speech,0.9650171995162964,Telephone,0.3884899318218231
5,5182aabf07ae4ca9bddb2abaa88f1656.wav,mouse_click,2.0108576,mouse_click,2.5999615,crickets,-2.276034,hen,-0.21878953,0,0,Speech,0.9380040764808655,Telephone,0.3333975672721863
6,5af4196ea8534d09a455bd2aa86c3aec.wav,footsteps,1.3674918,siren,2.4654605,dog,-2.6638105,breathing,-2.8369102,0,0,Speech,0.934047520160675,Telephone,0.20283859968185425
7,4b6dbf77575e4ac1a86155b75932e04d.wav,hen,2.995353,laughing,1.8932399,hen,-1.0821104,water_drops,-2.4258692,0,0,Speech,0.9478826522827148,Telephone,0.492509663105011
8,7626c54af7d6485b98b157b545ead97a.wav,rooster,1.5486377,siren,1.8665481,breathing,-3.2173717,water_drops,-2.0986626,0,0,Speech,0.9448714256286621,Telephone,0.28817206621170044
9,25f1e769886742d2815ea384beb6da77.wav,laughing,1.9186461,rooster,2.7793903,hen,-1.6686316,breathing,-1.4436265,0,0,Speech,0.9664078950881958,"Male speech, man speaking",0.2982363700866699
10,3adcff17963b490d882d6ff02cea9ee2.wav,water_drops,1.7094997,coughing,3.8384557,mouse_click,-2.472062,coughing,-2.553585,0,0,Speech,0.9453881978988647,Telephone,0.5147298574447632
11,dd01d3823e7e42f08b8ab416254cdcf1.wav,laughing,3.1795669,siren,1.8611364,crow,-2.205174,water_drops,-2.611751,0,0,Speech,0.7768868207931519,"Chicken, rooster",0.14568525552749634
12,6e79bd2d25604a7dafbc86c8f50ab19a.wav,water_drops,2.1060894,sneezing,1.5606663,chirping_birds,1.0109552,rain,-3.3305986,0,0,Speech,0.8835520148277283,Speech synthesizer,0.3872857093811035
13,2b8830f975ec42f8b49bb6035eb0dfad.wav,coughing,2.3854,car_horn,1.6327939,coughing,-1.3983136,water_drops,-1.4944605,0,0,Speech,0.9563856720924377,Conversation,0.22566752135753632
14,63d45e1ccf874ba285b59604ca2383f8.wav,coughing,4.2041826,coughing,2.443818,hen,-1.3760126,water_drops,-1.8649548,0,0,Speech,0.8774603009223938,"Narration, monologue",0.3977072834968567
15,da3c459dab9948f7858253e72661214e.wav,coughing,2.6924891,coughing,2.1119237,glass_breaking,-2.758029,hen,-2.7051058,0,0,Speech,0.9079266786575317,"Narration, monologue",0.49362465739250183
16,abd6eed8709745b2bbf7d8ee48f9d02d.wav,dog,3.5208797,dog,1.8250216,breathing,-0.9328001,water_drops,-0.561906,0,0,Speech,0.8382436037063599,Speech synthesizer,0.6485131978988647
17,82c0c53aad8f4f90aabbf5e05bfb2e4d.wav,vacuum_cleaner,2.1221342,rooster,2.0439281,hen,-3.1607857,water_drops,-2.000727,0,0,Speech,0.953062117099762,Speech synthesizer,0.40507563948631287
18,16c9844a7ba245968d3ed3be9bf3eef9.wav,chirping_birds,2.4971676,mouse_click,2.0322983,footsteps,-3.607759,mouse_click,-1.5099323,0,0,Speech,0.7910575270652771,Speech synthesizer,0.5378669500350952
19,bc0e67df30094cbfb0706373c70bb746.wav,coughing,2.7594705,church_bells,1.6505256,breathing,-2.0976167,water_drops,-3.062359,0,0,Speech,0.829410195350647,"Narration, monologue",0.4524639844894409
20,c86879a2008943b6add3e1c1e74b1add.wav,hen,2.411466,laughing,1.9635254,mouse_click,0.6938721,breathing,-2.717517,0,0,Speech,0.9747439026832581,Telephone,0.4440349042415619
21,8e6791d9bd5f4cf59804c26f56072e5a.wav,water_drops,2.5361102,laughing,1.9855131,footsteps,-2.9368467,vacuum_cleaner,-2.6566987,0,0,Speech,0.9551934003829956,Telephone,0.34929513931274414
22,d68c7184fbec4f0092e708639aa84142.wav,coughing,1.9096706,mouse_click,2.2153869,dog,-2.9164746,coughing,-1.9167887,0,0,Speech,0.8869508504867554,"Narration, monologue",0.6504948139190674
23,7de77c71b1934a0d875ead5a7463168b.wav,coughing,1.6268964,coughing,2.8176749,breathing,-1.9193245,hen,-1.1942656,0,0,Speech,0.9433907866477966,"Narration, monologue",0.4216006398200989
24,b985030f31e847fcaac7a9c4bd0de66f.wav,coughing,2.20345,car_horn,2.1262984,hen,-1.9946097,water_drops,-2.7372859,0,0,Speech,0.938318133354187,"Narration, monologue",0.5784751176834106
25,75584322bf7e459fb299a08e40b8ab4c.wav,car_horn,1.856679,siren,2.405392,glass_breaking,-2.6952493,cat,-2.3720765,0,0,Speech,0.8837965726852417,Speech synthesizer,0.28633323311805725
26,9e86a411f3374df18f511af5845fd393.wav,siren,2.9439578,water_drops,3.2301965,water_drops,-1.1832389,door_wood_knock,-0.0010846853,0,0,Speech,0.9163985848426819,Speech synthesizer,0.37550556659698486
